epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,92743,1.38487,0.83637,1.08776,0.87654,0.77324,0.82812,0.47786,1.58238,1.07333,1.14025,0.0046045,0.0046045,0.0046045
111,93585.7,1.37287,0.82314,1.0793,0.87731,0.77336,0.82841,0.47856,1.58111,1.07074,1.13967,0.004555,0.004555,0.004555
112,94444.5,1.37327,0.81811,1.08025,0.87744,0.77365,0.82885,0.47901,1.57929,1.06916,1.13928,0.0045055,0.0045055,0.0045055
113,95296.6,1.36477,0.80349,1.07521,0.87741,0.77436,0.8293,0.47964,1.57873,1.06764,1.13888,0.004456,0.004456,0.004456
114,96136,1.3682,0.82111,1.07852,0.8765,0.77538,0.82985,0.48025,1.57672,1.06492,1.13837,0.0044065,0.0044065,0.0044065
115,96981.8,1.355,0.81507,1.07452,0.87769,0.77542,0.83044,0.48099,1.5757,1.06362,1.13791,0.004357,0.004357,0.004357
116,97838.1,1.35103,0.81025,1.06873,0.87716,0.77623,0.83069,0.4817,1.57502,1.06217,1.1373,0.0043075,0.0043075,0.0043075
117,98666.5,1.34974,0.79787,1.07269,0.87731,0.77703,0.83122,0.4823,1.57366,1.0591,1.13692,0.004258,0.004258,0.004258
118,99497.7,1.33948,0.78527,1.06715,0.87824,0.77699,0.83143,0.48299,1.57294,1.0577,1.13648,0.0042085,0.0042085,0.0042085
119,100338,1.33814,0.78535,1.06763,0.87821,0.77804,0.83179,0.48358,1.57188,1.05506,1.13592,0.004159,0.004159,0.004159
120,101177,1.3332,0.77673,1.06515,0.87922,0.77837,0.83212,0.48423,1.57017,1.05345,1.13529,0.0041095,0.0041095,0.0041095
121,102030,1.32511,0.77149,1.06326,0.88001,0.77862,0.83273,0.48506,1.56939,1.05155,1.13484,0.00406,0.00406,0.00406
122,102863,1.32786,0.77534,1.06113,0.88067,0.77842,0.83309,0.48576,1.56789,1.04973,1.13425,0.0040105,0.0040105,0.0040105
123,103695,1.32523,0.77722,1.06152,0.87933,0.77952,0.83368,0.48651,1.56684,1.04787,1.13395,0.003961,0.003961,0.003961
124,104534,1.31388,0.75758,1.06024,0.8807,0.77938,0.83402,0.48727,1.56579,1.04628,1.13363,0.0039115,0.0039115,0.0039115
125,105381,1.30745,0.75823,1.05468,0.882,0.77922,0.8344,0.48821,1.56436,1.04473,1.13336,0.003862,0.003862,0.003862
126,106220,1.3055,0.76231,1.05378,0.88275,0.77914,0.83474,0.48892,1.56406,1.04218,1.13299,0.0038125,0.0038125,0.0038125
127,107053,1.30906,0.76534,1.05427,0.88313,0.77962,0.83518,0.48964,1.56137,1.04058,1.13186,0.003763,0.003763,0.003763
128,107888,1.27617,0.74172,1.04265,0.88323,0.78039,0.83548,0.49054,1.55923,1.03858,1.13126,0.0037135,0.0037135,0.0037135
129,108737,1.29137,0.75198,1.04816,0.8835,0.78133,0.83626,0.49113,1.55761,1.03555,1.1306,0.003664,0.003664,0.003664
130,109608,1.28075,0.74543,1.04203,0.88352,0.78184,0.8365,0.49182,1.5564,1.03355,1.13001,0.0036145,0.0036145,0.0036145
131,110443,1.26902,0.75118,1.03723,0.88371,0.78247,0.83684,0.49247,1.55547,1.03105,1.12948,0.003565,0.003565,0.003565
132,111273,1.26831,0.73045,1.03916,0.88428,0.78289,0.83741,0.49328,1.55469,1.02962,1.12887,0.0035155,0.0035155,0.0035155
133,112111,1.27177,0.74364,1.03611,0.88433,0.78407,0.83771,0.494,1.55303,1.02737,1.12813,0.003466,0.003466,0.003466
134,112951,1.25721,0.71875,1.03452,0.88409,0.78503,0.83816,0.49464,1.55089,1.02502,1.12734,0.0034165,0.0034165,0.0034165
135,113799,1.25324,0.72301,1.0323,0.88482,0.78564,0.83862,0.49554,1.54899,1.0224,1.12715,0.003367,0.003367,0.003367
136,114643,1.24203,0.71089,1.0291,0.88521,0.78621,0.83921,0.49633,1.5473,1.01987,1.12647,0.0033175,0.0033175,0.0033175
137,115477,1.24779,0.71313,1.03055,0.88597,0.7864,0.83956,0.49705,1.54669,1.01816,1.12626,0.003268,0.003268,0.003268
138,116317,1.23696,0.70935,1.02828,0.88638,0.78676,0.83998,0.49764,1.54524,1.01476,1.12557,0.0032185,0.0032185,0.0032185
139,117158,1.23097,0.70101,1.02436,0.88663,0.78744,0.84043,0.4983,1.54437,1.0127,1.12491,0.003169,0.003169,0.003169
140,117998,1.22376,0.69247,1.02081,0.88671,0.78867,0.841,0.49934,1.54197,1.00987,1.12391,0.0031195,0.0031195,0.0031195
141,118841,1.22031,0.70193,1.01812,0.88689,0.78914,0.84147,0.50007,1.54068,1.00836,1.12348,0.00307,0.00307,0.00307
142,119685,1.22056,0.69409,1.01928,0.88737,0.78956,0.84182,0.50069,1.53866,1.00734,1.12294,0.0030205,0.0030205,0.0030205
143,120536,1.20875,0.68913,1.01486,0.88797,0.78998,0.84208,0.50138,1.53724,1.00557,1.12218,0.002971,0.002971,0.002971
144,121410,1.21,0.68125,1.01625,0.8884,0.79044,0.84248,0.50227,1.53553,1.00343,1.12168,0.0029215,0.0029215,0.0029215
145,122242,1.19623,0.67798,1.01138,0.88812,0.79167,0.84265,0.50293,1.53358,1.00024,1.12109,0.002872,0.002872,0.002872
146,123075,1.195,0.67009,1.01236,0.88895,0.79177,0.84329,0.50377,1.53127,0.99774,1.1201,0.0028225,0.0028225,0.0028225
147,123912,1.18676,0.66602,1.00726,0.8888,0.79229,0.84338,0.50421,1.53011,0.99531,1.11939,0.002773,0.002773,0.002773
148,124754,1.18437,0.66076,1.00559,0.88928,0.79188,0.84364,0.50497,1.52867,0.99144,1.11871,0.0027235,0.0027235,0.0027235
149,125624,1.16849,0.65287,1.0022,0.88972,0.7923,0.84427,0.50573,1.52805,0.99011,1.11859,0.002674,0.002674,0.002674
150,126471,1.17146,0.66033,1.00342,0.88961,0.79289,0.84484,0.50652,1.52652,0.98797,1.11814,0.0026245,0.0026245,0.0026245
151,127308,1.16961,0.65566,1.00062,0.89042,0.79289,0.84519,0.50702,1.52577,0.98662,1.11783,0.002575,0.002575,0.002575
152,128152,1.1612,0.65301,0.99642,0.8917,0.79327,0.84582,0.50801,1.52381,0.98426,1.11703,0.0025255,0.0025255,0.0025255
153,128995,1.15512,0.64895,0.99657,0.89287,0.79306,0.84613,0.50888,1.52213,0.98188,1.11645,0.002476,0.002476,0.002476
154,129825,1.14565,0.63825,0.99095,0.8937,0.79289,0.84681,0.50946,1.5209,0.98012,1.11593,0.0024265,0.0024265,0.0024265
155,130656,1.15287,0.63839,0.99455,0.89333,0.79348,0.84701,0.51017,1.51912,0.97865,1.11514,0.002377,0.002377,0.002377
156,131486,1.15142,0.6475,0.99478,0.89381,0.7935,0.84764,0.51102,1.51803,0.9773,1.11459,0.0023275,0.0023275,0.0023275
157,132326,1.13673,0.62742,0.98886,0.8941,0.79386,0.84792,0.51151,1.51689,0.97462,1.1139,0.002278,0.002278,0.002278
158,133182,1.1354,0.6327,0.98667,0.89479,0.79348,0.84828,0.5123,1.51535,0.97336,1.11297,0.0022285,0.0022285,0.0022285
159,134021,1.12601,0.62127,0.98611,0.89523,0.79399,0.84852,0.51294,1.51335,0.97246,1.11247,0.002179,0.002179,0.002179
160,134855,1.12084,0.62716,0.98045,0.89379,0.79496,0.84893,0.51374,1.51285,0.97204,1.11212,0.0021295,0.0021295,0.0021295
161,135692,1.11642,0.61576,0.98028,0.8955,0.79445,0.84943,0.51443,1.51071,0.97086,1.11138,0.00208,0.00208,0.00208
162,136533,1.1111,0.61645,0.97687,0.89224,0.79724,0.84972,0.51534,1.50921,0.96846,1.11095,0.0020305,0.0020305,0.0020305
163,137386,1.1,0.61389,0.97556,0.89131,0.79905,0.85036,0.51611,1.50743,0.96552,1.11022,0.001981,0.001981,0.001981
164,138226,1.10209,0.60317,0.97828,0.89168,0.79931,0.85068,0.51672,1.50521,0.96303,1.10957,0.0019315,0.0019315,0.0019315
165,139064,1.10427,0.60827,0.97578,0.8924,0.79931,0.85084,0.51753,1.50373,0.9612,1.10885,0.001882,0.001882,0.001882
166,139906,1.0837,0.59702,0.97014,0.89215,0.79977,0.85117,0.51818,1.50193,0.959,1.10805,0.0018325,0.0018325,0.0018325
167,140746,1.08005,0.59128,0.97078,0.89289,0.79994,0.8516,0.5187,1.50011,0.95727,1.10723,0.001783,0.001783,0.001783
168,141584,1.07536,0.59154,0.96682,0.89344,0.80028,0.85177,0.51959,1.49845,0.95547,1.10661,0.0017335,0.0017335,0.0017335
169,142419,1.06802,0.58553,0.9658,0.89393,0.80053,0.85205,0.52021,1.49677,0.95359,1.10595,0.001684,0.001684,0.001684
170,143256,1.06979,0.58893,0.96698,0.89455,0.80079,0.85237,0.52099,1.49563,0.95256,1.10559,0.0016345,0.0016345,0.0016345
171,144096,1.06088,0.5903,0.9609,0.89428,0.80131,0.85287,0.5219,1.49449,0.95085,1.10524,0.001585,0.001585,0.001585
172,144947,1.05742,0.58311,0.95984,0.89532,0.80125,0.85318,0.52252,1.49406,0.94967,1.10488,0.0015355,0.0015355,0.0015355
173,145788,1.05446,0.57956,0.95997,0.89619,0.80107,0.85363,0.5232,1.49303,0.94791,1.10458,0.001486,0.001486,0.001486
174,146631,1.04916,0.5735,0.95979,0.89539,0.80268,0.85404,0.52378,1.49143,0.94784,1.10444,0.0014365,0.0014365,0.0014365
175,147474,1.03853,0.56655,0.95615,0.89671,0.80214,0.85417,0.52446,1.49015,0.94668,1.10406,0.001387,0.001387,0.001387
176,148312,1.04036,0.57157,0.95633,0.89602,0.80289,0.85444,0.52495,1.48816,0.94411,1.10314,0.0013375,0.0013375,0.0013375
177,149153,1.03318,0.56814,0.95249,0.89595,0.80353,0.85468,0.52575,1.48702,0.94168,1.10259,0.001288,0.001288,0.001288
178,149979,1.02922,0.56518,0.95493,0.89662,0.80323,0.85477,0.52616,1.48519,0.93944,1.10172,0.0012385,0.0012385,0.0012385
179,150816,1.0203,0.55533,0.95059,0.89765,0.8037,0.85525,0.52697,1.48384,0.93845,1.10132,0.001189,0.001189,0.001189
180,151663,1.0121,0.54797,0.94729,0.89753,0.80425,0.85539,0.52774,1.48175,0.93764,1.10078,0.0011395,0.0011395,0.0011395
181,152495,1.01055,0.55155,0.9469,0.89763,0.80479,0.85565,0.52842,1.48028,0.93578,1.10039,0.00109,0.00109,0.00109
182,153326,1.00669,0.56026,0.94444,0.89784,0.80514,0.85578,0.5291,1.4788,0.93425,1.09976,0.0010405,0.0010405,0.0010405
183,154159,0.99474,0.54386,0.94136,0.89822,0.80547,0.85603,0.52964,1.47737,0.93318,1.09946,0.000991,0.000991,0.000991
184,154985,1.00164,0.54891,0.94488,0.89899,0.80547,0.85638,0.53029,1.47554,0.93172,1.0989,0.0009415,0.0009415,0.0009415
185,155828,0.99149,0.54447,0.93912,0.89948,0.8056,0.85685,0.53094,1.47421,0.93061,1.09847,0.000892,0.000892,0.000892
186,156667,0.98485,0.54099,0.93768,0.89922,0.8056,0.85735,0.53163,1.47313,0.92935,1.09799,0.0008425,0.0008425,0.0008425
